Form,Type,Mentions,Entity,Metadata
Achille,MISC,1,?,
Adolphe,PER,1,Adolphe,Title: Madame Bovary
Agnès Sorel,PER,1,Agnès Sorel,Annotator: Arthur Amalvy
Amanda,PER,1,Berthe Bovary,Guidelines: v1.0.0
Amboise,LOC,1,?,
Amboise,MISC,1,?,
Ambroise Paré,PER,1,Ambroise Paré,Updated: 2024/12/22
Amiens,LOC,1,?,
amiral de France,PER,1,Jean-Antoine-Henry-Guy d’Andervilliers de la Vaubyessard,Comment:
Anacharsis,PER,1,Anacharsis,
Angleterre,LOC,3,?,
Annette,PER,1,Annette,
Argueil,LOC,3,?,
Artémise,PER,6,Artémise,
Arthur,PER,1,Arturo Bucklaw,
Ashton,PER,3,Enrico Ashton,
Atala,PER,1,Berthe Bovary,
Athalie,PER,8,Athalie Homais,
au bois Guillaume,LOC,1,?,
au château de la Vaubyessard,LOC,1,?,
au Cimetière monumental,LOC,1,?,
au collège de Rouen,LOC,1,?,
au Conseil général,ORG,1,?,
au couvent d ' Ernemont,LOC,1,?,
au docteur Larivière,PER,1,Docteur Larivière,
au Grand Sauvage,LOC,1,?,
au Lion d ' or,LOC,7,?,
au mont Gargan,LOC,1,?,
au père Guérin,PER,1,Monsieur Guerin,
au père Rouault,PER,2,Théodore Rouault,
au Seigneur,PER,1,Dieu,
au sieur Lheureux,PER,2,Monsieur Lheureux,
au théâtre de Rouen,LOC,1,?,
au Vaudreuil,LOC,1,?,
Aumale,LOC,1,?,
aux Bertaux,LOC,12,?,
aux Trois Frères,LOC,1,?,
aux Trois-Pipes,LOC,1,?,
Bade,LOC,1,?,
Balzac,PER,1,Honoré de Balzac,
Barcelone,LOC,1,?,
Barèges,LOC,1,?,
Barfeuchères,LOC,1,?,
Barneville,LOC,4,?,
baron de la Fresnaye,PER,1,Jean-Antoine-Henry-Guy d’Andervilliers de la Vaubyessard,
baron de Mauny,PER,1,Louis de Brézé,
Barthole,PER,1,Barthole de Saxoferrato,
Bautzen,LOC,1,?,
Bayard,PER,1,Pierre Terrail de Bayard,
Beauvais,LOC,1,?,
Béranger,PER,2,Pierre-Jean de Béranger,
Berlin,LOC,1,?,
Berthe,PER,22,Berthe Bovary,
Berthe Bovary,PER,1,Berthe Bovary,
Bichat,PER,1,Xavier Bichat,
Binet,PER,27,Monsieur Binet,
Bois,MISC,1,?,
bon Dieu,PER,1,Dieu,
Bon-Secours,LOC,1,?,
Bondeville,LOC,1,?,
Boudet,PER,1,Monsieur Boudet,
Boudet le charpentier,PER,1,Monsieur Boudet,
Boulle,MISC,1,?,
Bournisien,PER,7,Abbé Bournisien,
Bovary,PER,66,Charles Bovary,
Breda-street,MISC,1,?,
Bridoux,PER,7,Monsieur Bridoux,
Buchy,LOC,3,?,
Cadet de Gassicourt,PER,1,Charles-Louis Cadet de Gassicourt,
Café de Normandie,LOC,1,?,
Camus l ' épicier,PER,1,Monsieur Camus,
Canivet,PER,10,Docteur Canivet,
Cany,LOC,1,?,
Capucins,ORG,1,?,
Castellamare,LOC,1,?,
Catherine Leroux,PER,1,Catherine Leroux,
Catherine-Nicaise-Élisabeth Leroux,PER,2,Catherine Leroux,
ce quartier de Rouen,LOC,1,?,
Celse,PER,1,Aulus Cornelius Celsus,
Champagne,LOC,2,?,
Charbovari,PER,3,Charles Bovary,
Charles,PER,313,Charles Bovary,
Charles Bovary,PER,1,Charles Bovary,
Charles X,PER,1,Charles X de France,
chevalier de l ' ordre de Saint-Michel,PER,1,Jean-Antoine-Henry-Guy d’Andervilliers de la Vaubyessard,
Cincinnatus,PER,1,Lucius Quinctius Cincinnatus,
cité d ' Yonville,LOC,1,?,
Clara,PER,1,Berthe Bovary,
Clémence Isaure,PER,1,Clémence Isaure,
Cologne,LOC,2,?,
comte de la Vaubyessard,PER,1,Jean-Antoine-Henry-Guy d’Andervilliers de la Vaubyessard,
comte de Maulevrier,PER,1,Louis de Brézé,
comtesse de Brézé,PER,1,Diane de Poitiers,
Constantinople,LOC,1,?,
contrées de la Picardie,LOC,1,?,
Coutras,LOC,1,?,
Cujas,PER,1,Jacques Cujas,
Cullembourg,PER,1,Monsieur Cullembourg,
d ' Holbach,PER,1,"Paul-Henri Thiry, Baron d’Holbach",
Damoclès,PER,1,Damoclès,
Darcet,PER,1,Jean-Pierre Darcet,
de Coigny,PER,1,Monsieur de Coigny,
de Lauzun,PER,1,Monsieur de Lauzun,
Delille,PER,1,Jacques Delille,
demoiselles Lempereur,PER,1,Félicie Lempereur,
des Arabes,MISC,1,?,
des Bertaux,LOC,3,?,
des Botocudos,MISC,1,?,
des Caraïbes,MISC,1,?,
des États,MISC,1,?,
des îles Sandwich,LOC,1,?,
des Juifs,MISC,1,?,
Des Rouennais,MISC,1,?,
des Turcs,MISC,1,?,
des Yonvillais,MISC,2,?,
deux Robinsons,MISC,1,?,
Diane de Poitiers,PER,1,Diane de Poitiers,
Dieppe,LOC,4,?,
Dieu,PER,18,Dieu,
Dieu le Père,PER,1,Dieu,
Dioclétien,PER,1,Empereur Dioclétien,
Djali,PER,2,chien Djali,
Dodolphe,PER,1,Adolphe,
Doudeville,LOC,1,?,
du Béarnais,LOC,1,?,
du Bengale,LOC,1,?,
du bois Guillaume,LOC,2,?,
du Café Français,LOC,3,?,
du canton d ' Yonville,LOC,1,?,
du Christ,PER,1,Jésus Christ,
du comte d ' Artois,PER,1,Comte d’Artois,
du docteur Duval,PER,1,Docteur Duval,
du faubourg Saint-Germain,LOC,1,?,
du Lion d ' or,LOC,8,?,
du Midi,LOC,1,?,
du pays de Bray,LOC,1,?,
du pays de Caux,LOC,1,?,
du père Bovary,PER,1,Charles Denis Bartolomé Bovary,
du père Rouault,PER,1,Théodore Rouault,
du père Tellier,PER,1,Monsieur Tellier,
du Pollet,LOC,1,?,
du quartier Beauvoisine,LOC,2,?,
du quartier Saint-Gervais,LOC,1,?,
du Rhin,LOC,1,?,
du roi Louis XII,PER,1,Louis XII de France,
du Sauveur,PER,1,Dieu,
du Seigneur,PER,2,Dieu,
du sieur Homais,PER,1,Monsieur Homais,
du sieur Lheureux,PER,1,Monsieur Lheureux,
du sieur Tuvache,PER,4,Monsieur Tuvache,
Dubocage,PER,1,Maître Dubocage,
duc de Laverdière,PER,1,Duc de Laverdière,
duc de Normandie,PER,1,Richard Ier d’Angleterre,
duchesse de Valentinois,PER,1,Diane de Poitiers,
Dupuytren,PER,1,Guillaume Dupuytren,
Edgar,PER,3,Ténor Lagardy,
Edgar Lagardy,PER,1,Ténor Lagardy,
Emma,PER,369,Emma Bovary,
Érard,PER,1,Sébastien Érard,
Espagne,LOC,1,?,
État,ORG,1,?,
Eugène Sue,MISC,1,?,
Fahrenheit,PER,1,Daniel Gabriel Farenheit,
Félicie l ' Empereur,PER,1,Félicie Lempereur,
Félicité,PER,40,Félicité,
Ferronnière,PER,1,Lucrezia Crivelli,
Fils,PER,1,Dieu,
Forges,LOC,2,?,
France,LOC,2,?,
Franklin,PER,3,Franklin Homais,
Fribourg,LOC,1,?,
Galilée,PER,1,Galileo Galilei,
Galsuinde,PER,1,Berthe Bovary,
Gascon,MISC,1,?,
Gênes,LOC,1,?,
Gensoul,PER,1,Joseph Gensoul,
George Sand,PER,1,George Sand,
Georges,PER,1,Berthe Bovary,
Gilbert,PER,1,Gilbert,
Girard,PER,3,Girard,
Givry-Saint-Martin,LOC,1,?,
Goderville,LOC,1,?,
gouverneur de Normandie,PER,2,Pierre de Brézé,
